IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME
VYH,18.84,48.49,93.53,44.28,Vyhne
WIC,15.52,47.55,90.4,43.24,Conrad Observatorium
CST,11.65,46.05,86.7,41.47,Castello Tesino
P01,16.66,45.41,90.92,40.72,Lonjsko Polje
RNC,12.08,43.97,86.62,38.85,Ranchio
SUT,20.67,-32.4,85,-40.88,Sutherland
A01,7.39,8.99,79.35,-1.37,Abuja
A02,2.93,36.85,77.53,27.89,Algeria
A03,11.52,3.87,83.17,-4.32,Cameroon
A04,39.46,14.28,111.13,6.04,Ethiopia
A05,17.58,-19.2,86.62,-30.07,Namibia
A06,355.87,5.33,68.1,-1.08,Abidjan
A07,346.34,9.58,59.9,-0.55,Conakry
A08,125.4,7,-163.28,-0.56,Davao
A09,120,14.58,-168.56,7.33,Manila
A10,319.5,-9.4,30.39,-7.03,Petrolina
A11,311.55,-1.45,25.58,1.67,Belem
A12,100.61,14.08,172.33,6.43,Bangkok
A13,98.35,7.89,170.06,-0.33,Phuket
GRK,29.38,60.27,106.12,56.34,Gorkovskaya
BBG,14.23,78.07,110.81,75.3,Barentsburg
PRG,76.23,-69.23,96.85,-74.4,Progress
NVL,11.83,-70.78,52.9,-62.65,Novolazorevskaya
WHS,264.75,49.8,-28.27,60.37,Whiteshell
T44,281.95,58.47,-1.35,68.91,Inukjuak
T45,282.24,55.28,-1.15,65.83,Kuujjuarapik
T46,282.71,60.05,0.04,70.35,Puvirnituq
T47,284.35,62.2,3.03,72.24,Salluit
T48,293.19,54.8,15.1,63.91,Schefferville
T49,293.73,50.22,14.94,59.25,Spet-lles
T50,287.55,48.65,6.07,58.72,Saint-Fellicien
T51,282.22,48.05,-1.8,58.77,Val-dOr
T52,282.38,53.79,-1.06,64.37,Radisson
T53,281.85,60.82,-1.32,71.14,Akulivik
VNA,351.7,-70.7,40.94,-59.93,Neumayer Station III
CUL,149.58,-30.28,-134.19,-39.7,Culgoora
HOB,147.35,-42.88,-133.36,-53.89,Hobart
